Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
1,1,3,105,0.574,NA,0.658,7.3,0.174,-0.4,0.8,19.3,8,6.2,0.5
1,1,4,151,0.392,0.261,0.67,0.5,0.013,-4.8,-1.3,12.6,4.4,3.1,0.5
1,1,9,500,0.435,NA,0.597,2.5,0.009,-4.6,-8.5,26.3,8.3,6.8,0.7
1,1,12,607,0.492,0.111,0.57,20.8,0.074,-2.4,-1.3,22.1,6.6,5.5,0.9
1,1,16,1030,0.455,0.238,0.79,60.3,0.107,-1.5,3,26.2,10.9,6.4,1
1,1,10,550,0.439,0.354,0.824,18.9,0.057,-1.6,1.5,28.7,14.3,4.6,1.2
1,1,18,1224,0.587,0.206,0.566,140.5,0.173,1.9,38.8,31.9,15.8,11.8,1.4
1,1,8,486,0.524,0.2,0.833,65.9,0.2,3.2,20.7,32.5,19,9.2,1.6
1,1,4,215,0.595,0.196,0.751,22.1,0.161,1.1,5.2,30.7,16.1,10.6,1.6
1,1,15,757,0.483,0.234,0.629,48,0.1,0.1,12.1,30.6,12.3,6.8,1.9
1,1,17,1058,0.5,0.095,0.736,109.6,0.151,2.2,37.3,33,15.9,8.5,2.1
1,1,14,706,0.535,0.12,0.557,50.6,0.122,1.2,16,28.1,9.6,8.7,2.2
1,1,10,601,0.515,0.303,0.794,91.5,0.212,6,42,34.4,23.8,10.2,2.3
1,1,8,579,0.449,0.351,0.727,23.5,0.056,-1.5,2.6,35.1,19.4,4.4,2.3
1,1,15,781,0.447,0.295,0.769,64.3,0.119,1.4,22.3,33.2,16.5,9.3,2.5
1,1,19,1207,0.582,0.045,0.527,181.7,0.208,5.1,75.5,34.7,23.7,10.9,2.5
1,1,11,688,0.459,0.34,0.82,39.8,0.075,0.1,13.5,36.8,20.7,6.1,2.7
1,1,19,1392,0.506,0.179,0.696,206.4,0.209,5.6,91.1,34,19,10.8,3
1,1,7,460,0.527,0.396,0.833,63,0.192,4.8,27.2,34.3,23.1,11.4,3.1
1,1,2,85,0.604,0.333,0.683,10.6,0.189,4.9,4.7,31.7,25.7,7,3.2
1,1,2,125,0.425,0.341,0.776,3.9,0.045,-0.7,1.4,33.2,20.4,4.7,3.2
1,1,10,707,0.484,0.332,0.766,69.7,0.13,1.4,22,36.3,16.2,7.5,3.3
1,1,15,831,0.479,0.299,0.649,84.7,0.132,3.4,42.1,37.1,20.7,9.8,4.2
1,1,12,716,0.493,0.326,0.696,79.2,0.16,3.4,32.5,33.1,20,8.3,4.2
1,1,4,113,0.447,0.265,0.695,3.1,0.052,-2.2,-0.2,25.6,10.9,3.3,4.6
1,1,1,44,0.394,0.327,0.856,-0.8,-0.028,-2.4,-0.1,31.8,15.7,5.5,5.2
1,1,13,672,0.457,0.316,0.83,44.2,0.1,1.4,18.4,31.7,18.2,3.3,5.4
1,1,11,596,0.469,0.391,0.882,69.8,0.166,4.5,33.2,33.9,22.9,3.8,5.7
1,1,14,914,0.425,0.313,0.78,99,0.126,3.2,49.6,41.1,26.7,3.7,6.2
1,1,19,1351,0.505,0.345,0.734,248.3,0.231,8.9,141.4,38.2,27.1,7.5,7.4
1,1,4,275,0.56,0.147,0.597,30.4,0.156,3.7,13.5,33.9,15.9,8.1,7.7
1,1,10,613,0.431,0.323,0.779,44.1,0.097,2.4,24,35.6,19.1,4.3,9.1
2,2,5,224,0.567,NA,0.578,4.8,0.099,-2.7,-0.4,10.5,2.2,2.7,0.1
2,2,9,547,0.473,0.074,0.699,21.3,0.095,-1.6,1.1,19.8,8.4,4.6,0.5
2,2,12,832,0.457,0.103,0.716,40.7,0.1,-0.2,8.9,23.5,8.1,6.3,0.7
2,2,7,428,0.434,0.3,0.71,14.1,0.076,-1.6,0.8,20.7,8.9,4,0.7
2,2,1,39,0.519,0.316,0.628,0.7,0.042,-5,-0.6,21.4,11.5,5.8,0.7
2,2,19,1160,0.597,0,0.644,102.1,0.155,0.1,16.9,27.3,8.2,9,0.8
2,2,10,616,0.512,0,0.586,45.3,0.114,-0.6,6.8,30.9,12,9.7,0.8
